Review Number,Title of Review,Review,Lemmatization,Semantic Analysis
10,I would not call it a masterpiece as some did,,,Negative
11,"Finally, a REAL movie","This movie causes the audience to consider many topics on morality, particularly the poor choices made by the Joker. The Joker is more relatable in this movie than antagonists usually are. I think this gives a more realistic view of ""bad"" people, who are not usually 100% bad in all ways as society often judges. It is important to know when to sympathize with the Joker (towards the beginning of the movie), and when he needs to be identified as a threat (when he begins making certain bad choices). This movie is only suitable for adults who are willing to pick it apart and think critically about it. It isn't for light amusement. That substance is what makes it so good.\n\nIf you aren't able to ponder underlying themes on your own, and you have to be handed all your thoughts to you, then this isn't the best movie for you.",thi movi caus the audienc to consid mani topic on moral particularli the poor choic made by the joke the joke is more reliabl in thi movi than antagonist usual are i think thi give a more realist view of bad peopl who are not usual 100 bad in all way as societi often judg it is import to know when to sympath with the joke toward the begin of the movi and when he need to be identifi as a threat when he begin make certain bad choic thi movi is onli suitabl for adult who are will to pick it apart and think clinic about it it isn for light amus that substanc is what make it so good if you agent abl to ponder underli theme on your own and you have to be hand all your thought to you then thi isn the best movi for you,Negative
12,Good lord,"The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh.",the act cinematographi sound design and the script itself is phenomena thi movi is a triumph joaquin phoenix deserv an oscar win for thi th,Positive
13,Not a spoon feeding of CGI fueled faux drama.,"The movie affects you in a way that makes it physically painful to experience, but in a good way.",the movi affect you in a way that make it physic pain to experi but in a good way,Neutral
14,Joker > Endgame,"Need I say more? Everything about this Movie is Masterful in every single way! Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways.",need i say more everyth about thi movi is wast in everi singl way joke isn just an awesom comic book movi it an awesom movi period it offer no easi answer to the settl question it rais about a cruel societi in declin joaquin phoenix fulli commit perform and told phillip wast albeit loos invent of the do sourc materi make joke a film that should leav comic book fan and nonfan alik disturb and move in all the right way,Positive
15,Critics are useless!,"I quit relying on critic reviews years ago... I noticed for this movie that the critics ratings were low but viewer ratings were high. That being said, what is the point of a critic when for this movie, they are oh so wrong. I went and saw this tonite with my mom. I went in skeptical and w some what low expectations. I knew not to expect your typical super hero movie. What we got was a masterpiece. I went in expecting sheer boredom and I was instead on the edge of my seat the whole time. Not action edge of your seat, it was a fear of what he may do or say next edge of your seat. To see this character evolve into what we all know as the #1 villain of Batman was beyond genius and Joaquin Phoenix is a true master at perfecting the art of consuming himself into this character. I may be all over the place with this but I don't care. This movie, the story, the acting, directing, effects, everyone brought their A game and JP definitely deserves a nod and win for this role. And no, there i...",i quit reli on critic review year ago i notic for thi movi that the critic rate were low but viewer rate were high that be said what is the point of a critic when for thi movi they are oh so wrong i went and saw thi tone with my mon i went in skeptic and w some what low expect i knew not to expect your typic super hero movi what we got wa a masterpiec i went in expect sheer boredom and i wa instead on the edg of my seat the whole time not action edg of your seat it wa a fear of what he may do or say next edg of your seat to see thi charact evolv into what we all know as the 1 villain of batman wa beyond geniu and joaquin phoenix is a true master at perfect the art of consum himself into thi charact i may be all over the place with thi but i dont care thi movi the stori the act direct effect everyon brought their a game and up definit deserv a nod and win for thi role and no there is no comparison here to jack nicholson or heath ledger each actor took on thi charact and differ level...,Positive
16,Oscar for Phoenix,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.,i will stop watch move if joaquin phoenix is not award oscar for hi tremend act,Positive
17,Between a 7 and an 8,"I thought this film was good but I just don't get the hype personally. The acting was amazing and the film was good overall but I think 'masterpiece' and 'film of the year' are a bit overused throughout the reviews. In no way did I dislike this film, I thought it was really good, just overhyped. I feel as though a lot of the 10/10 reviews are purely based on the fact that it already has amazing reviews and so people want to carry the praise further and that it is about the joker. If this film was released and was about some random guy in the same situation, I don't think the reviews would be as high but maybe that's the point.",i thought thi film wa good but i just dont get the hope person the act wa amaz and the film wa good overal but i think masterpiec and film of the year are a bit vers throughout the review in no way did i dislik thi film i thought it wa realli good just overhyp i feel as though a lot of the 1010 review are pure base on the fact that it alreadi ha amaz review and so peopl want to carri the prais further and that it is about the joke if thi film wa releas and wa about some random guy in the same situat i dont think the review would be as high but mayb that the point,Neutral
18,One of the best acting performances I've ever seen,,,Positive
19,OK film,"Do not really understand all the tens here. Sure, a good movie, good acting, nice shooting. But the plot is not so intriguing. At times it is really long and somewhat boring. I needed to double-check the genre to see if this is a drama or what. Crime, drama, thriller it said. I would put it maybe 90% in the drama and rest in thriller.\n\nI miss more dialogue, more depth, more substance. The plot is really not more then a somewhat crazy person becoming a bit crazier. Sure there is an undertone in that it is society and the system and the mean character of people that is bringing him down and creating the evil beast which later wants to destroy everything. Absolutely, but I think it is not intriguing story and plot and dialogue enough to give this a ten.\n\nWorthy of watching, yes. But not amazing",do not realli understand all the ten here sure a good movi good act nice shoot but the plot is not so intrigu at time it is realli long and somewhat bore i need to doublecheck the gene to see if thi is a drama or what crime drama thrill it said i would put it mayb 90 in the drama and rest in thrill i miss more dialogu more depth more substanc the plot is realli not more then a somewhat crazi person becom a bit brazier sure there is an underton in that it is societi and the system and the mean charact of peopl that is bring him down and creat the evil beast which later want to destroy everyth absolut but i think it is not intrigu stori and plot and dialogu enough to give thi a ten worthi of watch ye but not amaz,Negative
20,Extremely overrated,"I went into this film expecting an all-time classic based on the reviews I had read & what I ended up watching was just a decent film overall. Phoenix is outstanding...so he definitely did his part. But I feel like if you've seen the trailers you've seen the movie because the best way I can describe this film is it feels like a 2 hour version of the trailer. At 2 hours it's a relatively common runtime, but it felt a lot longer...which isn't good. I'd say this is much more of a rental than a theater movie. Kinda just....eh.",i went into thi film expect an allie classic base on the review i had read what i end up watch wa just a decent film overal phoenix is outstand he definit did hi part but i feel like if you seen the trailer you seen the movi becaus the best way i can describ thi film is it feel like a 2 hour version of the trailer at 2 hour it a rel common aunti but it felt a lot longerwhich isn good id say thi is much more of a rental than a theater movi kind just,Negative
21,Is it great? I don't know.,"When I heard everyone saying that this is the film of the year and all the reviews flooding in with 10's, I was quite hyped and excited for this movie. When I walked out of the cinema, I felt hollow and empty.\n\nBefore I continue writing, let me say this, This is NOT the film of the year nor is it a real masterpiece. The cinematography is excellent and the acting is incredible, that's just it. The side-characters are bland and overly dramatic. The plot heavily relies on plot-twists and the film is so harsh that it actually falls flat on it's face.\n\nAre there no good points though? Phoenix is phenomenal and the score is great. The cinematography is also incredible but the plot is not that great at all. It even has plot holes and scenes that left me empty.\n\nFilm of the year? Nope.",when i heard everyon say that thi is the film of the year and all the review flood in with wa i wa quit hope and excit for thi movi when i walk out of the cinema i felt hollow and empti befor i continu write let me say thi thi is not the film of the year nor is it a real masterpiec the cinematographi is excel and the act is incred that just it the sidecharact are bland and overlay dramat the plot heavili relief on plottwist and the film is so harsh that it actual fall flat on it face are there no good point though phoenix is phenomena and the score is great the cinematographi is also incred but the plot is not that great at all it even ha plot hole and scene that left me empti film of the year hope,Neutral
22,Loved it!,"This is just my opinion but I loved the Joker, the performances, cinematography, directing, style, all build a great story. And the acting from Phoenix was incredible, he done a great take for the iconic character, and wow does he commit, with loosing the weight for the role, to developing the laugh.",thi is just my opinion but i love the joke the perform cinematographi direct style all build a great stori and the act from phoenix wa incred he done a great take for the iron charact and now doe he commit with look the weight for the role to develop the laugh,Positive
23,"Yikes. THIS is people's ""best movie ever""?","The recurring themes of so many of the 10 star reviews here should tell you a lot about this movie and its audience. If you can't get through a movie review without tossing in one or more claims that ""THIS movie is so much better and smarter than YOUR superhero movie"" (or even basing your entire review around this premise), then I hate to break it to you, but kid, you're nowhere near as intelligent and grown up as you think you are. This ""my comic publisher is better than yours"" BS should have been left behind on your grade school playground, it has absolutely no relevance to the quality of this movie, and your opinion of this movie should be considered highly suspect if you're in this group.\n\nI gotta say, if this movie was also your idea of the most perfect film ever made, you really need to get out more. Look, I get it. If you live in a safe little box where all you watch are superhero movies and mainstream blockbusters then I understand how exposure to themes like this for the...",the recur theme of so mani of the 10 star review here should tell you a lot about thi movi and it audienc if you can get through a movi review without toss in one or more claim that thi movi is so much better and smarter than your superhero movi or even basin your entir review around thi premis then i hate to break it to you but kid your nowher near as intellig and grown up as you think you are thi my comic publish is better than your is should have been left behind on your grade school playground it ha absolut no relev to the qualiti of thi movi and your opinion of thi movi should be consid highli suspect if your in thi group i gutta say if thi movi wa also your idea of the most perfect film ever made you realli need to get out more look i get it if you live in a safe littl box where all you watch are superhero move and mainstream blockbust then i understand how exposur to theme like thi for the first time would seem new and excit to you and i think we can all agre that thi is pro...,Negative
24,Extremely overrated,,,Negative
25,OMG - Am I getting old or are people getting more stupid,"I was so hyped up to see this movie, loved the trailer, only movie I have wanted to watch in the cinema for a very long time.\n\nI watched it and was bored. the aesthetics were amazing, music was good, story and execution was meh. the performance of the joker was a good performance but people raving about this are driving me mad. either you have not seen many movies or I have seen too many.\n\nthis movie was bang average and was actually boring. I was actually thinking about leaving half way through as I was bored out of my mind.\n\nI do not regret watching it but it is being so overhyped that I am so confused right now. I think it had a good premise but could have been so much more, so much more.\n\nSigns of a great movie is the repeat viewing of it or it moving you, joker did not move me whatsoever and I would not watch it again.\n\nI thought maybe people are getting paid to write good review but have actually met people who think it is the best movie ever.... OMGGG\n\nThis movie...",i wa so hope up to see thi movi love the trailer onli movi i have want to watch in the cinema for a veri long time i watch it and wa bore the aesthet were amaz music wa good stori and execut wa me the perform of the joke wa a good perform but peopl rave about thi are drive me mad either you have not seen mani move or i have seen too mani thi movi wa bang averag and wa actual bore i wa actual think about leav half way through as i wa bore out of my mind i do not regret watch it but it is be so overhyp that i am so confus right now i think it had a good premis but could have been so much more so much more sign of a great movi is the repeat view of it or it move you joke did not move me whatsoev and i would not watch it again i thought mayb peopl are get paid to write good review but have actual met peopl who think it is the best movi ever ogg thi movi is bang averag and way overhyp phoenix perform is good but as the stori and execut is so bad i feel he never even touch the higher spe...,Negative
26,BELIEVE THE HYPE,"Joaquin Phoenix gives Heath Ledger a run for his money, true story. This is not a popcorn fluff comic book flick. DO NOT TAKE YOUR KIDS TO SEE THIS MOVIE. Shut down all ballots for the Oscar, Joaquin is taking that one home hands down. One of the best origin stories EVER put out. The only downside to this movie, is that it is a stand alone film that will have no sequels or ties to the DC Universe. Todd Philips take on the Joker is one of pure brilliance and Joaquin Phoenix was the Joker we deserved. He didn't steal from Jack or Heath but yet you got a taste of both.",joaquin phoenix give heath ledger a run for hi money true stori thi is not a popcorn fluff comic book flick do not take your kiss to see thi movi shut down all ballot for the oscar joaquin is take that one home hand down one of the best origin stori ever put out the onli downsid to thi movi is that it is a stand alon film that will have no sequel or tie to the do univers told philip take on the joke is one of pure brillianc and joaquin phoenix wa the joke we deserv he didn steal from jack or heath but yet you got a tast of both,Positive
27,"""That's Life.""",,,Positive
28,"Worthy Acting Performance By Phoenix Worth a Watch, but This Joker is Not Smart Enough to Become the Joker We've Come to Know",,,Positive
29,Masterpiece.,"The music. The intense. The realism. The performance. The story. Such a perfect combination of everything. I never felt that a character like joker could be real until I saw this. Phoenix shows us what a joker is in our society and shows us how power can be obtained. Philips on the other hand had the perfect choice of music, camera angles, lighting and every important factor. Overall, I did not expect the story to be this perfect. Too many shocking turns happened and it really does represent today's society. If I was in the first screening, I would have applauded for 80 min not 8.",the music the intens the realism the perform the stori such a perfect combin of everyth i never felt that a charact like joke could be real until i saw thi phoenix show us what a joke is in our societi and show us how power can be obtain philip on the other hand had the perfect choic of music camera angl light and everi import factor overal i did not expect the stori to be thi perfect too mani shock turn happen and it realli doe repres today societi if i wa in the first screen i would have applaus for 80 min not 8,Positive
30,Acting Cannot Save Mediocre Script,"They say it's all in the writing. And this is a great example of that. Good acting and production values cannot save a script steeped in tiresome stereotypes and a failure to delve into a character's identity. We meet the Joker when already imbalanced and his so-called descent into madness is really a couple weeks away; far from a descent, it's a stroll. This is not a character study, despite claims to the contrary. It's a showcase of a good actor overly contorting his body and laughing manically as a mistaken expression of madness. Where is the past? Where are the influences? Where are the conflicts? What are the seminal moments that create the spiral? Perhaps if he had really had that relationship, and had it gone sour, it would justify a descent. Instead, it's a fait accompli. This is lazy writing, focused more on fancy long shots of Joaquin Phoenix dancing crazily than producing something of value to the franchise.",they say it all in the write and thi is a great exampl of that good act and product valu can not save a script step in tiresom stereotyp and a failur to delv into a charact ident we meet the joke when alreadi balanc and hi call descent into mad is realli a coupl week away far from a descent it a stroll thi is not a charact studi despit claim to the contrari it a showcas of a good actor overlay contort hi bodi and laugh magic as a mistaken express of mad where is the past where are the influenc where are the conflict what are the semin moment that creat the spiral perhap if he had realli had that relationship and had it gone sour it would justifi a descent instead it a fait accompli thi is lazi write focus more on fanci long shot of joaquin phoenix danc crazi than produc someth of valu to the franchis,Neutral
31,Embarrassing for all involved,"A beyond pathetic Taxi Driver/King of Comedy rip-off borefest that is objectively the single worst/completely non-existent version of the ""Joker"" character in history.\n\nThe troll-worthy ""masterpiece"" reviews are the dictionary definition proof of how easy it is to fool the laughably clueless sheep.\n\nKeep crying about your ""SOCIETY!!!!"", cringey loser incels ??????",a beyond pathet taxi divert of comedi trepoff briefest that is object the singl worstcomplet nonexist version of the joke charact in histori the trollworthi masterpiec review are the dictionari definit proof of how easi it is to fool the laughabl careless sheep keep cri about your societi cring lower inch,Negative
32,Requiem of a broken man,"The perfect portrait of a decline to insanity"" & Joaquin Phoenix portrays this flawlessly in a performance of a lifetime. Choreographed impeccably by Todd Phillips & is nothing short of breathtaking. The cinematography & backdrop ideology of such an original film for such a complex character is only complimented by the superb soundtrack & acting. A hauntingly beautiful film & A Definate 10/10. Edit: Bring on part 2 plssssss!. We all want it!.",the perfect portrait of a declin to insan joaquin phoenix portray thi fearlessli in a perform of a lifetim choreograph impecc by told phillip is noth short of breathtak the cinematographi backdrop ideolog of such an origin film for such a complex charact is onli compliment by the superb soundtrack act a hauntingli beauti film a definit 1010 edit bring on part 2 plssssss we all want it,Positive
33,Didn't like it,It was a really slow paced and boring. It was too overhyped in my opinion.,it wa a realli slow pace and bore it wa too overhyp in my opinion,Negative
34,Brilliant. And best joker I've ever seen,"Phoenix convinces me that he has always meant to be the joker. The movie went beyond my expectations, so many emotions went through me these couple hours. I think because its rated R, Phoenix was able to unlock jokers full psychotic potential as the character he is meant to be. This was an AMAZING story, and it calls for more. And I mean a build up, a second movie, maybe one with batman? My hopes are too high at this point, but nevertheless, brilliant goddamn movie and THE BEST joker ever played hands down.",phoenix convinc me that he ha alway meant to be the joke the movi went beyond my expect so mani emot went through me these coupl hour i think becaus it rate r phoenix wa abl to clock joke full psychic potenti as the charact he is meant to be thi wa an amaz stori and it call for more and i mean a build up a second movi mayb one with batman my hope are too high at thi point but nevertheless brilliant goddamn movi and the best joke ever play hand down,Positive
35,Movie of the Decade,"The pool does not need the money. They need the dignity and respect, coz that is what it takes to be a human. If you don't have that, money will only be a reminder of them being a ""good boy"". Like some politicians, they feel so frustrated when people from the lower class does not accept their funding champions. In this movie, through joker's life, I begin to get it.",the pool doe not need the money they need the digniti and respect co that is what it take to be a human if you dont have that money will onli be a remind of them be a good boy like some politician they feel so frustrat when peopl from the lower class doe not accept their fund champion in thi movi through joke life i begin to get it,Positive
36,I made an account just to rate my disappoint for this film.,"I was expecting a masterpiece and oscar worthy film from all the hype. I actually didn't enjoy watching this movie. there was no message, it was slow and the joker turned out just to be the son of a schizophrenic and went crazy over a slight amount of bullying. I don't see how anyone could relate to this character and the laughing is lame acting way overdone. I'm just stunned that this has a 9/10 rating right now, how the hell?",i wa expect a masterpiec and oscar worthi film from all the hope i actual didn enjoy watch thi movi there wa no messag it wa slow and the joke turn out just to be the son of a schizophren and went crazi over a slight amount of build i dont see how anyon could relat to thi charact and the laugh is lame act way everyon in just stun that thi ha a 910 rate right now how the hell,Negative
37,Nonsense plot,,,Negative
38,I feel like everyone is brain washed,"I thought this movie was complete and utter garbage. I don't understand why people liked this movie so much. The character doesn't even stay true to the comics and the director flat out said it didn't, and then they made it seem like it was part of Gothams fall and he was just a little boy that had a laughing problem... Hated it",i thought thi movi wa complet and utter garag i dont understand whi peopl like thi movi so much the charact doesn even stay true to the comic and the director flat out said it didn and then they made it seem like it wa part of gotham fall and he wa just a littl boy that had a laugh problem hate it,Negative
39,CLOWN PRINCE OF CRIME has arrived,"10/10 Amazing story, Brilliant taking, magnificent cinematography. Someone had to step out of the safe game played by Superhero movies and Joker movie does just that (also The Boys). Movie is gritty, real, insanely dark and sometime quite disturbing to people who don't want accept what's shown in the movie is a terrible reality we face everyday if refused a proper care. Normally people start to compare the movie with one of the greatest like The Dark Knight and in acting wise to that of Heath ledger's Potrayal of joker. I wouldn't say this movie is better that that or otherwise , but it will stand tall amongst the greatest like The Godfather, Taxi Driver, Citizen Kane, The Dark Knight. Coming to the inevitable comparison of who's the better Joker? Heath or Joaquin. The answer is Both did a phenomenal job and the Joker character itself is fortunate to have being played by two greatest actors. Definitely a top contender for Oscars. I personally think it would take away 1.Best Actor 2...",1010 amaz stori brilliant take magnific cinematographi someon had to step out of the safe game play by superhero move and joke movi doe just that also the boy movi is gritti real insan dark and sometim quit disturb to peopl who dont want accept what shown in the movi is a terribl realiti we face everyday if refus a proper care normal peopl start to compar the movi with one of the greatest like the dark knight and in act wise to that of heath ledger betray of joke i wouldn say thi movi is better that that or otherwis but it will stand tall amongst the greatest like the godfath taxi driver citizen lane the dark knight come to the inevit comparison of who the better joke heath or joaquin the answer is both did a phenomena job and the joke charact itself is fortun to have be play by two greatest actor definit a top contend for scar i person think it would take away best actor 2cinematographi origin score and if onc upon a time in hollywood lose in make and hairstyl categori it would de...,Positive
40,Probably one of the best comic book movies out there with a performance of Phoenix that will make you speechless at the end #Venice76,,,Positive
41,"No, I don't feel bad for a violent Incel!!",,,Neutral
42,Artificial Uprising,"The whole point of this movie is to bring attention to mental illness (I'll do you one better and name a bigger issue than mental illness that the film barely focuses on; the lack of quality mental healthcare) but the film completely discredits its own message with a one dimensional depiction of most of the world and characters that inhabit it. It seems that Gotham and its citizens (the entire universe for that matter) only exists to put Arthur down and considering the film isn't told from Arthur's perspective, it is a blatantly stupid depiction of the world. The reason why people liked it so much is because the sad corporate slaves (especially the youth currently being indoctrinated) were subconsciously tricked into believing they were part of some bigger cause when they were really just sitting in their comfy chairs.",the whole point of thi movi is to bring attent to mental ill ill do you one better and name a bigger issu than mental ill that the film bare focus on the lack of qualiti mental healthcar but the film complet discredit it own messag with a one dimens deduct of most of the world and charact that inhabit it it seem that gothic and it citizen the entir univers for that matter onli exist to put arthur down and consid the film isn told from arthur perspect it is a blatantli stupid deduct of the world the reason whi peopl like it so much is becaus the sad corpor slave especi the youth current be indoctrin were unconsci trick into believ they were part of some bigger caus when they were realli just sit in their come chair,Neutral
43,The Rise of the Joker!,"Joaquin' portrayal of a sociopathic, mentally unstable man's transformation to the iconic Joker was non other than a grippingly accurate, realistic and touching rendition. A dark and disturbing character piece led by an Oscar worthy performance by Joaquin Phoenix. You really do feel bad for this guy, which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love, although we've never seen him like this. We see him suffer throughout the movie to the point we're almost rooting for himk to become a mass murdering psyco clown, because that at least will make feel better; then it happens and we just wish this could have all just been avoided, because es so messed up. We feel for him and care about him. By the time he's the joker, we wish we could've helped him. There's a lot of great nods to the greater Batman universe, yet the movie is a self contained character piece. That can only be the mark of a great movie. All the acting is gre...",joaquin portray of a sociopath mental unstabl man transform to the iron joke wa non other than a grip accur realist and touch condit a dark and disturb charact piec led by an oscar worthi perform by joaquin phoenix you realli do feel bad for thi guy which make it all the more heartbreak when he inevit becom the clown princ of crime we all know and love although were never seen him like thi we see him suffer throughout the movi to the point were almost foot for him to becom a mass murder psyco clown becaus that at least will make feel better then it happen and we just wish thi could have all just been avoid becaus es so miss up we feel for him and care about him by the time he the joke we wish we could help him there a lot of great nod to the greater batman univers yet the movi is a self contain charact piec that can onli be the mark of a great movi all the act is great the plot while similar to taxi driver is brilliant and the qualiti of the movi show you dont need chi super power ...,Neutral
